movie_id,title,genre
1,Toy Story,Animation
1,Toy Story,Children's
1,Toy Story,Comedy
2,Jumanji,Adventure
2,Jumanji,Children's
2,Jumanji,Fantasy
3,Grumpier Old Men,Comedy
3,Grumpier Old Men,Romance
4,Waiting to Exhale,Comedy
4,Waiting to Exhale,Drama
5,Father of the Bride Part II,Comedy
6,Heat,Action
6,Heat,Crime
6,Heat,Thriller
7,Sabrina,Comedy
7,Sabrina,Romance
8,Tom and Huck,Adventure
8,Tom and Huck,Children's
9,Sudden Death,Action
10,GoldenEye,Action
10,GoldenEye,Adventure
10,GoldenEye,Thriller
11,"American President, The",Comedy
11,"American President, The",Drama
11,"American President, The",Romance
12,Dracula: Dead and Loving It,Comedy
12,Dracula: Dead and Loving It,Horror
13,Balto,Animation
13,Balto,Children's
14,Nixon,Drama
15,Cutthroat Island,Action
15,Cutthroat Island,Adventure
15,Cutthroat Island,Romance
16,Casino,Drama
16,Casino,Thriller
17,Sense and Sensibility,Drama
17,Sense and Sensibility,Romance
18,Four Rooms,Thriller
19,Ace Ventura: When Nature Calls,Comedy
20,Money Train,Action
21,Get Shorty,Action
21,Get Shorty,Comedy
21,Get Shorty,Drama
22,Copycat,Crime
22,Copycat,Drama
22,Copycat,Thriller
23,Assassins,Thriller
24,Powder,Drama
24,Powder,Sci-Fi
25,Leaving Las Vegas,Drama
25,Leaving Las Vegas,Romance
26,Othello,Drama
27,Now and Then,Drama
28,Persuasion,Romance
29,"City of Lost Children, The",Adventure
29,"City of Lost Children, The",Sci-Fi
30,Shanghai Triad (Yao a yao yao dao waipo qiao),Drama
31,Dangerous Minds,Drama
32,Twelve Monkeys,Drama
32,Twelve Monkeys,Sci-Fi
33,Wings of Courage,Adventure
33,Wings of Courage,Romance
34,Babe,Children's
34,Babe,Comedy
34,Babe,Drama
35,Carrington,Drama
35,Carrington,Romance
36,Dead Man Walking,Drama
37,Across the Sea of Time,Documentary
38,It Takes Two,Comedy
39,Clueless,Comedy
39,Clueless,Romance
40,"Cry, the Beloved Country",Drama
41,Richard III,Drama
41,Richard III,War
42,Dead Presidents,Action
42,Dead Presidents,Crime
42,Dead Presidents,Drama
43,Restoration,Drama
44,Mortal Kombat,Action
44,Mortal Kombat,Adventure
45,To Die For,Comedy
45,To Die For,Drama
46,How to Make an American Quilt,Drama
46,How to Make an American Quilt,Romance
47,Seven (Se7en),Crime
47,Seven (Se7en),Thriller
48,Pocahontas,Animation
48,Pocahontas,Children's
48,Pocahontas,Musical
48,Pocahontas,Romance
49,When Night Is Falling,Drama
49,When Night Is Falling,Romance
50,"Usual Suspects, The",Crime
50,"Usual Suspects, The",Thriller
51,Guardian Angel,Action
51,Guardian Angel,Drama
51,Guardian Angel,Thriller
52,Mighty Aphrodite,Comedy
53,Lamerica,Drama
54,"Big Green, The",Children's
54,"Big Green, The",Comedy
55,Georgia,Drama
56,Kids of the Round Table,Adventure
56,Kids of the Round Table,Children's
56,Kids of the Round Table,Fantasy
57,Home for the Holidays,Drama
58,"Postino, Il (The Postman)",Drama
58,"Postino, Il (The Postman)",Romance
59,"Confessional, The (Le Confessionnal)",Drama
59,"Confessional, The (Le Confessionnal)",Mystery
