movie_id,title,title_full,genres_raw
1,Toy Story,Toy Story (1995),Animation|Children's|Comedy
2,Jumanji,Jumanji (1995),Adventure|Children's|Fantasy
3,Grumpier Old Men,Grumpier Old Men (1995),Comedy|Romance
4,Waiting to Exhale,Waiting to Exhale (1995),Comedy|Drama
5,Father of the Bride Part II,Father of the Bride Part II (1995),Comedy
6,Heat,Heat (1995),Action|Crime|Thriller
7,Sabrina,Sabrina (1995),Comedy|Romance
8,Tom and Huck,Tom and Huck (1995),Adventure|Children's
9,Sudden Death,Sudden Death (1995),Action
10,GoldenEye,GoldenEye (1995),Action|Adventure|Thriller
11,"American President, The","American President, The (1995)",Comedy|Drama|Romance
12,Dracula: Dead and Loving It,Dracula: Dead and Loving It (1995),Comedy|Horror
13,Balto,Balto (1995),Animation|Children's
14,Nixon,Nixon (1995),Drama
15,Cutthroat Island,Cutthroat Island (1995),Action|Adventure|Romance
16,Casino,Casino (1995),Drama|Thriller
17,Sense and Sensibility,Sense and Sensibility (1995),Drama|Romance
18,Four Rooms,Four Rooms (1995),Thriller
19,Ace Ventura: When Nature Calls,Ace Ventura: When Nature Calls (1995),Comedy
20,Money Train,Money Train (1995),Action
21,Get Shorty,Get Shorty (1995),Action|Comedy|Drama
22,Copycat,Copycat (1995),Crime|Drama|Thriller
23,Assassins,Assassins (1995),Thriller
24,Powder,Powder (1995),Drama|Sci-Fi
25,Leaving Las Vegas,Leaving Las Vegas (1995),Drama|Romance
26,Othello,Othello (1995),Drama
27,Now and Then,Now and Then (1995),Drama
28,Persuasion,Persuasion (1995),Romance
29,"City of Lost Children, The","City of Lost Children, The (1995)",Adventure|Sci-Fi
30,Shanghai Triad (Yao a yao yao dao waipo qiao),Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Drama
31,Dangerous Minds,Dangerous Minds (1995),Drama
32,Twelve Monkeys,Twelve Monkeys (1995),Drama|Sci-Fi
33,Wings of Courage,Wings of Courage (1995),Adventure|Romance
34,Babe,Babe (1995),Children's|Comedy|Drama
35,Carrington,Carrington (1995),Drama|Romance
36,Dead Man Walking,Dead Man Walking (1995),Drama
