user_id,gender,age,age_group,occupation_id,occupation,zipcode
1,Female,1,Under18,10,K-12 student,48067
2,Male,56,56+,16,self-employed,70072
3,Male,25,19-25,15,scientist,55117
4,Male,45,36-45,7,executive/managerial,02460
5,Male,25,19-25,20,writer,55455
6,Female,50,46-55,9,homemaker,55117
7,Male,35,26-35,1,academic/educator,06810
8,Male,25,19-25,12,programmer,11413
9,Male,25,19-25,17,technician/engineer,61614
10,Female,35,26-35,1,academic/educator,95370
11,Female,25,19-25,1,academic/educator,04093
12,Male,25,19-25,12,programmer,32793
13,Male,45,36-45,1,academic/educator,93304
14,Male,35,26-35,0,other,60126
15,Male,25,19-25,7,executive/managerial,22903
16,Female,35,26-35,0,other,20670
17,Male,50,46-55,1,academic/educator,95350
18,Female,18,Under18,3,clerical/admin,95825
19,Male,1,Under18,10,K-12 student,48073
20,Male,25,19-25,14,sales/marketing,55113
21,Male,18,Under18,16,self-employed,99353
22,Male,18,Under18,15,scientist,53706
23,Male,35,26-35,0,other,90049
24,Female,25,19-25,7,executive/managerial,10023
25,Male,18,Under18,4,college/grad student,01609
26,Male,25,19-25,7,executive/managerial,23112
27,Male,25,19-25,11,lawyer,19130
28,Female,25,19-25,1,academic/educator,14607
29,Male,35,26-35,7,executive/managerial,33407
30,Female,35,26-35,7,executive/managerial,19143
31,Male,56,56+,7,executive/managerial,06840
32,Female,25,19-25,0,other,19355
33,Male,45,36-45,3,clerical/admin,55421
34,Female,18,Under18,0,other,02135
35,Male,45,36-45,1,academic/educator,02482
36,Male,25,19-25,3,clerical/admin,94123
37,Female,25,19-25,9,homemaker,66212
38,Female,18,Under18,4,college/grad student,02215
39,Male,18,Under18,4,college/grad student,61820
40,Male,45,36-45,0,other,10543
41,Female,18,Under18,4,college/grad student,15116
42,Male,25,19-25,8,farmer,24502
43,Male,25,19-25,12,programmer,60614
44,Male,45,36-45,17,technician/engineer,98052
45,Female,45,36-45,16,self-employed,94110
46,Male,18,Under18,19,unemployed,75602
47,Male,18,Under18,4,college/grad student,94305
48,Male,25,19-25,4,college/grad student,92107
49,Male,18,Under18,12,programmer,77084
50,Female,25,19-25,2,artist,98133
51,Female,1,Under18,10,K-12 student,10562
52,Male,18,Under18,4,college/grad student,72212
53,Male,25,19-25,0,other,96931
54,Male,50,46-55,1,academic/educator,56723
55,Female,35,26-35,12,programmer,55303
56,Male,35,26-35,20,writer,60440
57,Male,18,Under18,19,unemployed,30350
58,Male,25,19-25,2,artist,30303
59,Female,50,46-55,1,academic/educator,55413
60,Male,50,46-55,1,academic/educator,72118
61,Male,25,19-25,17,technician/engineer,95122
62,Female,35,26-35,3,clerical/admin,98105
63,Male,18,Under18,4,college/grad student,54902
64,Male,18,Under18,1,academic/educator,53706
65,Male,35,26-35,12,programmer,55803
66,Male,25,19-25,18,tradesman/craftsman,57706
